r-value,Independent Value (X),Dependent Value (Y),Equation
0.9814501596901084,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted life expectancy index Value,Y = -0.015384232623106057 * X + 0.9300674628422025
0.9793899154679472,2015 Inequality-adjusted HDI (IHDI) Value,2015 Human Development Index (HDI) (Value),Y = 0.8205409935742061 * X + 0.23115643911464429
0.9793899154679472,2015 Inequality-adjusted HDI (IHDI) Value,2015 Human Development Index (HDI) ,Y = 0.8205409935742061 * X + 0.23115643911464429
0.9793899154679472,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Value,Y = 1.1689904758348508 * X + -0.2474185629839661
0.9793899154679472,2015 Human Development Index (HDI) ,2015 Inequality-adjusted HDI (IHDI) Value,Y = 1.1689904758348508 * X + -0.2474185629839661
0.9770480769789941,Income inequality (Quintile ratio),Income inequality (Palma ratio),Y = 0.2277615614541909 * X + 0.10047308978757051
0.9770480769789941,Income inequality (Palma ratio),Income inequality (Quintile ratio),Y = 4.191325957871734 * X + -0.04308969345423054
0.9688830997718815,Population with at least some secondary education (Male) 2005-2015,Population with at least some secondary education (Female) 2005-2015,Y = 1.071547022423486 * X + -8.485441634821587
0.9688830997718815,Population with at least some secondary education (Female) 2005-2015,Population with at least some secondary education (Male) 2005-2015,Y = 0.8760553119735824 * X + 11.32712242746928
0.9673096798069845,2015 Mean years of schooling (Year), 2015 Inequality-adjusted education index (Value),Y = 0.06702407696548854 * X + -0.025099855072307584
0.9673096798069845, 2015 Inequality-adjusted education index (Value),2015 Mean years of schooling (Year),Y = 13.960475981341585 * X + 0.8808576751629081
0.9579058796828279,2015 Inequality-adjusted HDI (IHDI) Value, 2015 Inequality-adjusted education index (Value),Y = 1.134583907792409 * X + -0.10312810253011997
0.9579058796828279, 2015 Inequality-adjusted education index (Value),2015 Inequality-adjusted HDI (IHDI) Value,Y = 0.8087402509668052 * X + 0.12946747812569248
0.9512206385399997,Population with at least some secondary education (Female) 2005-2015,2015 Mean years of schooling (Year),Y = 0.09795977361219645 * X + 2.7654237038020333
0.9512206385399997,2015 Mean years of schooling (Year),Population with at least some secondary education (Female) 2005-2015,Y = 9.23665571917766 * X + -19.86952951974595
0.9489893382115409,2015 Life expectancy at birth (Years),2010- 2015 Inequality in life expectancy (%),Y = -1.3811561262223173 * X + 115.35541053572122
0.9489893382115409,2010- 2015 Inequality in life expectancy (%),2015 Life expectancy at birth (Years),Y = -0.6520484881766446 * X + 82.29515573145386
0.948537212475191,2015 Coefficient of human inequality,2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.017522241552882793 * X + 0.9200461452763347
0.9485372124751908,2015 Inequality-adjusted HDI (IHDI) Value,2015 Coefficient of human inequality,Y = -51.34747405089749 * X + 49.308751125824784
0.94468141827473,2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = -52.212248715547716 * X + 50.220562533757374
0.94468141827473,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.017092215025931477 * X + 0.9185069449958877
0.9407624067977105,2015 Inequality in education (%), 2015 Inequality-adjusted education index (Value),Y = -0.014462563998458942 * X + 0.8197646230195144
0.9407624067977105, 2015 Inequality-adjusted education index (Value),2015 Inequality in education (%),Y = -61.194813460332824 * X + 52.48685788811743
0.9406421374561291,Income inequality (Palma ratio),Gini coefficient,Y = 7.326155159472155 * X + 24.419702593977647
0.940642137456129,Gini coefficient,Income inequality (Palma ratio),Y = 0.12077380447151045 * X + -2.7191173101666584
0.940639361170417,Gender Inequality Index Rank,2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.0037497108637494724 * X + 0.8767775141204107
0.940639361170417,2015 Inequality-adjusted HDI (IHDI) Value,Gender Inequality Index Rank,Y = -235.96550239032152 * X + 216.13677505743036
0.9386411572475554,2015 Inequality-adjusted income index (Value),2015 Inequality-adjusted HDI (IHDI) Value,Y = 1.0413454386506378 * X + 0.025317470396327615
0.9386411572475553,2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted income index (Value),Y = 0.8460662421690546 * X + 0.03953240679404283
0.9381775734408921,HDI rank, 2015 Inequality-adjusted education index (Value),Y = -0.0038122391837831253 * X + 0.9033235909743795
0.9381775734408921, 2015 Inequality-adjusted education index (Value),HDI rank,Y = -230.88193496662626 * X + 220.3666818830208
0.9370189752305941,2014HDI rank, 2015 Inequality-adjusted education index (Value),Y = -0.0038127191987829003 * X + 0.903443278006644
0.9370189752305941, 2015 Inequality-adjusted education index (Value),2014HDI rank,Y = -230.28303794899648 * X + 220.06961838093252
0.9364018013253036,Gender Inequality,2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.9075728467437864 * X + 0.9031783087122656
0.9364018013253036,2015 Inequality-adjusted HDI (IHDI) Value,Gender Inequality,Y = -0.9661465045712383 * X + 0.9170299758493647
0.9350539634670415,2015 Inequality-adjusted life expectancy index Value,2015 Human Development Index (HDI) (Value),Y = 0.7664672489692488 * X + 0.18372776615585754
0.9350539634670415,2015 Inequality-adjusted life expectancy index Value,2015 Human Development Index (HDI) ,Y = 0.7664672489692488 * X + 0.18372776615585754
0.9350539634670415,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted life expectancy index Value,Y = 1.1407218191921813 * X + -0.12561962120971984
0.9350539634670415,2015 Human Development Index (HDI) ,2015 Inequality-adjusted life expectancy index Value,Y = 1.1407218191921813 * X + -0.12561962120971984
0.9339533038464646,2015 Human Development Index (HDI) (Value), 2015 Inequality-adjusted education index (Value),Y = 1.3230069792365293 * X + -0.3807404822677788
0.9339533038464646,2015 Human Development Index (HDI) , 2015 Inequality-adjusted education index (Value),Y = 1.3230069792365293 * X + -0.3807404822677788
0.9339533038464646, 2015 Inequality-adjusted education index (Value),2015 Human Development Index (HDI) (Value),Y = 0.659307764399765 * X + 0.3387336620528327
0.9339533038464646, 2015 Inequality-adjusted education index (Value),2015 Human Development Index (HDI) ,Y = 0.659307764399765 * X + 0.3387336620528327
0.9318703419491657,2015 Inequality-adjusted life expectancy index Value,2015 Inequality-adjusted HDI (IHDI) Value,Y = 0.9063363399443249 * X + -0.03981427977342071
0.9318703419491657,2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted life expectancy index Value,Y = 0.9581237074282954 * X + 0.12509398402570487
0.9306188242153703,Population with at least some secondary education (Male) 2005-2015,2015 Mean years of schooling (Year),Y = 0.10599324650552644 * X + 1.8690696732997187
0.9306188242153703,2015 Mean years of schooling (Year),Population with at least some secondary education (Male) 2005-2015,Y = 8.1708167693386 * X + -6.759433132971319
0.9278953502468164,2015 Inequality-adjusted HDI (IHDI) Value,2010- 2015 Inequality in life expectancy (%),Y = -60.80510381018546 * X + 51.55567908055903
0.9278953502468164,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.014159827498977763 * X + 0.8077142670217735
0.9269912188957428,2015 Human Development Index (HDI) (Value),2010- 2015 Inequality in life expectancy (%),Y = -72.1458085902 * X + 67.22770546124235
0.9269912188957428,2015 Human Development Index (HDI) ,2010- 2015 Inequality in life expectancy (%),Y = -72.1458085902 * X + 67.22770546124235
0.9269912188957428,2010- 2015 Inequality in life expectancy (%),2015 Human Development Index (HDI) (Value),Y = -0.011910778140846052 * X + 0.8986249554235216
0.9269912188957428,2010- 2015 Inequality in life expectancy (%),2015 Human Development Index (HDI) ,Y = -0.011910778140846052 * X + 0.8986249554235216
0.9267146952623637,2015 Inequality-adjusted life expectancy index Value,2014HDI rank,Y = -266.05333907040057 * X + 273.14324230287076
0.9267146952623637,2014HDI rank,2015 Inequality-adjusted life expectancy index Value,Y = -0.003227924631263376 * X + 0.9760212037593702
0.9259170299276496,HDI rank,2015 Inequality-adjusted life expectancy index Value,Y = -0.003223832582245171 * X + 0.975595615973166
0.9259170299276496,2015 Inequality-adjusted life expectancy index Value,HDI rank,Y = -265.93265141360854 * X + 273.05168211546777
0.9257689137895239,2015 Mean years of schooling (Year),2015 Inequality-adjusted HDI (IHDI) Value,Y = 0.05436626296092475 * X + 0.10839400766221766
0.9257689137895239,2015 Inequality-adjusted HDI (IHDI) Value,2015 Mean years of schooling (Year),Y = 15.764336834316337 * X + -0.5241521289335187
0.9240677458650001,Population with at least some secondary education (Female) 2005-2015, 2015 Inequality-adjusted education index (Value),Y = 0.006547707925064873 * X + 0.16541114825170009
0.9240677458650001, 2015 Inequality-adjusted education index (Value),Population with at least some secondary education (Female) 2005-2015,Y = 130.412231076963 * X + -13.043931037103068
0.9214064991415123,2015 Inequality-adjusted income index (Value),2014HDI rank,Y = -299.57107751751266 * X + 251.07281672762636
0.9214064991415123,2014HDI rank,2015 Inequality-adjusted income index (Value),Y = -0.0028340183695155985 * X + 0.7887856415055913
0.9201843741486786,HDI rank,2015 Inequality-adjusted income index (Value),Y = -0.0028274926053717484 * X + 0.7880553319137313
0.9201843741486785,2015 Inequality-adjusted income index (Value),HDI rank,Y = -299.46648872528715 * X + 250.98685270708356
0.9189580389104636,Income inequality (Quintile ratio),Gini coefficient,Y = 1.6684448704254828 * X + 25.157214166867988
0.9189580389104636,Gini coefficient,Income inequality (Quintile ratio),Y = 0.5061503033437419 * X + -11.437762651784146
0.9176089604722473,2015 Human Development Index (HDI) (Value),2015 Expected years of schooling (Years),Y = 17.12323327353672 * X + 1.0171940919652867
0.9176089604722473,2015 Human Development Index (HDI) ,2015 Expected years of schooling (Years),Y = 17.12323327353672 * X + 1.0171940919652867
0.9176089604722473,2015 Expected years of schooling (Years),2015 Human Development Index (HDI) (Value),Y = 0.049173318548445547 * X + 0.06039280188882562
0.9176089604722473,2015 Expected years of schooling (Years),2015 Human Development Index (HDI) ,Y = 0.049173318548445547 * X + 0.06039280188882562
0.9157404211215739,2015 Inequality-adjusted HDI (IHDI) Value,2015 Expected years of schooling (Years),Y = 14.007937854347588 * X + 5.185338257248219
0.9157404211215739,2015 Expected years of schooling (Years),2015 Inequality-adjusted HDI (IHDI) Value,Y = 0.05986466584841718 * X + -0.220198949174234
0.9145723077167084,2015 Coefficient of human inequality, 2015 Inequality-adjusted education index (Value),Y = -0.020010922833955752 * X + 0.9434304168977067
0.9145723077167083, 2015 Inequality-adjusted education index (Value),2015 Coefficient of human inequality,Y = -41.799296963103664 * X + 42.805637278778676
0.9110474297683383,2015 Inequality-adjusted HDI (IHDI) Overall loss (%), 2015 Inequality-adjusted education index (Value),Y = -0.01952395250851657 * X + 0.9417595518480493
0.9110474297683382, 2015 Inequality-adjusted education index (Value),2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = -42.512263791127154 * X + 43.6127042072858
0.9103431258523587,2014HDI rank,2010- 2015 Inequality in life expectancy (%),Y = 0.20229020986110474 * X + -2.2687442270235243
0.9103431258523585,2010- 2015 Inequality in life expectancy (%),2014HDI rank,Y = 4.096711389817905 * X + 25.63293971065269
0.9102487480119816,HDI rank,2015 Expected years of schooling (Years),Y = -0.04841347110445664 * X + 17.549828029916092
0.9102487480119816,2015 Expected years of schooling (Years),HDI rank,Y = -17.114095815804998 * X + 316.5201940255234
0.9094143158798853,2015 Expected years of schooling (Years),2014HDI rank,Y = -17.091417291864616 * X + 316.2417046154913
0.9094143158798853,2014HDI rank,2015 Expected years of schooling (Years),Y = -0.04838887166606938 * X + 17.548279994668835
0.9092319096230017,2015 Inequality-adjusted income index (Value),2015 Human Development Index (HDI) (Value),Y = 0.8481290981337045 * X + 0.25536279831174125
0.9092319096230017,2015 Inequality-adjusted income index (Value),2015 Human Development Index (HDI) ,Y = 0.8481290981337045 * X + 0.25536279831174125
0.9092319096230016,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted income index (Value),Y = 0.9747368263815507 * X + -0.1602710623009941
0.9092319096230016,2015 Human Development Index (HDI) ,2015 Inequality-adjusted income index (Value),Y = 0.9747368263815507 * X + -0.1602710623009941
0.9091199817877362,HDI rank,2010- 2015 Inequality in life expectancy (%),Y = 0.20193612744595357 * X + -2.2327601342574845
0.9091199817877362,2010- 2015 Inequality in life expectancy (%),HDI rank,Y = 4.092874077259596 * X + 25.68735410078495
0.9076476273848927,2015 Mean years of schooling (Year),2015 Human Development Index (HDI) (Value),Y = 0.04545609329820719 * X + 0.31830957642171154
0.9076476273848927,2015 Mean years of schooling (Year),2015 Human Development Index (HDI) ,Y = 0.04545609329820719 * X + 0.31830957642171154
0.9076476273848927,2015 Human Development Index (HDI) (Value),2015 Mean years of schooling (Year),Y = 18.12351558883133 * X + -4.29407234880982
0.9076476273848927,2015 Human Development Index (HDI) ,2015 Mean years of schooling (Year),Y = 18.12351558883133 * X + -4.29407234880982
0.9041929504696008,2015 Expected years of schooling (Years), 2015 Inequality-adjusted education index (Value),Y = 0.06840524462246142 * X + -0.3553988479803612
0.9041929504696008, 2015 Inequality-adjusted education index (Value),2015 Expected years of schooling (Years),Y = 11.95178668231045 * X + 6.602911559676936
0.9018578272332316,2015 Life expectancy at birth (Years),2015 Human Development Index (HDI) (Value),Y = 0.01686904422767705 * X + -0.5048429824287071
0.9018578272332316,2015 Life expectancy at birth (Years),2015 Human Development Index (HDI) ,Y = 0.01686904422767705 * X + -0.5048429824287071
0.9018578272332316,2015 Human Development Index (HDI) (Value),2015 Life expectancy at birth (Years),Y = 48.21538965482032 * X + 37.65964836042589
0.9018578272332316,2015 Human Development Index (HDI) ,2015 Life expectancy at birth (Years),Y = 48.21538965482032 * X + 37.65964836042589
0.9018422594491489,Gender Inequality Index Rank, 2015 Inequality-adjusted education index (Value),Y = -0.004290175229131291 * X + 0.8944755664280839
0.9018422594491489, 2015 Inequality-adjusted education index (Value),Gender Inequality Index Rank,Y = -189.57721246575608 * X + 184.66589354234944
0.8995925214907452,Population with at least some secondary education (Male) 2005-2015, 2015 Inequality-adjusted education index (Value),Y = 0.007038545683899026 * X + 0.10484337143129081
0.8995925214907452, 2015 Inequality-adjusted education index (Value),Population with at least some secondary education (Male) 2005-2015,Y = 114.97640863130432 * X + -0.05659532092264065
0.8979757245164125,HDI rank,Gender Inequality Index Rank,Y = 0.763162706309224 * X + 10.64835517843091
0.8979757245164125,Gender Inequality Index Rank,HDI rank,Y = 1.0566035200022583 * X + 6.320181647115141
0.8972743305388846,Gender Inequality, 2015 Inequality-adjusted education index (Value),Y = -1.0409212302082085 * X + 0.9255577135391664
0.8972743305388846, 2015 Inequality-adjusted education index (Value),Gender Inequality,Y = -0.773450671270262 * X + 0.7866405714346881
0.8965332129061999,Gender Inequality Index Rank,2014HDI rank,Y = 1.0549396402962452 * X + 6.484571130040858
0.8965332129061999,2014HDI rank,Gender Inequality Index Rank,Y = 0.7619125977844579 * X + 10.737833183502719
0.8963621813309343,Gender Inequality Index Rank,2015 Coefficient of human inequality,Y = 0.1897253895364964 * X + 4.495812570396329
0.8963621813309343,2015 Coefficient of human inequality,Gender Inequality Index Rank,Y = 4.234884756769956 * X + -3.2623426440520165
0.8958842520582769,HDI rank,2015 Mean years of schooling (Year),Y = -0.05098648529203181 * X + 13.180278495735687
0.8958842520582768,2015 Mean years of schooling (Year),HDI rank,Y = -15.741594826334321 * X + 226.09639328555826
0.8949060447920807,2015 Mean years of schooling (Year),2014HDI rank,Y = -15.71797853094232 * X + 225.91465219147346
0.8949060447920807,2014HDI rank,2015 Mean years of schooling (Year),Y = -0.05095164288644653 * X + 13.177805247825159
0.8933418577154326,HDI rank,Gender Inequality,Y = 0.0031159530353201776 * X + 0.07688068934843066
0.8933418577154326,Gender Inequality,HDI rank,Y = 256.1205723257817 * X + -1.3662292211353908
0.8916440251325985,Gender Inequality Index Rank,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = 0.19275288107683466 * X + 4.671620169788591
0.8916440251325985,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Gender Inequality Index Rank,Y = 4.124602771762193 * X + -2.814461634049981
0.8913240566089268,Gender Inequality,2014HDI rank,Y = 255.55017347505063 * X + -1.1296507514268574
0.8913240566089268,2014HDI rank,Gender Inequality,Y = 0.0031088164139609015 * X + 0.07743052010881962
0.8902759426964187,2015 Inequality-adjusted income index (Value),2015 Coefficient of human inequality,Y = -53.46684704598413 * X + 48.00691273732434
0.8902759426964187,2015 Coefficient of human inequality,2015 Inequality-adjusted income index (Value),Y = -0.014823975939002502 * X + 0.8179317584090706
0.8897253399467868,Gender Inequality,2015 Coefficient of human inequality,Y = 45.78703366362106 * X + 3.2082486673209245
0.8897253399467868,2015 Coefficient of human inequality,Gender Inequality,Y = 0.017288981556636194 * X + 0.01970966961249964
0.8894571425484509,2015 Coefficient of human inequality,2010- 2015 Inequality in life expectancy (%),Y = 1.0767164599162915 * X + -4.620194005996634
0.8894571425484509,2010- 2015 Inequality in life expectancy (%),2015 Coefficient of human inequality,Y = 0.7347654074982396 * X + 7.699472985600461
0.8888674995606629,2015 Inequality in education (%),2015 Coefficient of human inequality,Y = 0.6206522478409984 * X + 8.078101732169403
0.8888674995606629,2015 Coefficient of human inequality,2015 Inequality in education (%),Y = 1.2729921377447966 * X + -6.044892926328365
0.8888131604511921,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality in education (%),Y = 1.2467427637816382 * X + -6.038095443586162
0.8888131604511921,2015 Inequality in education (%),2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = 0.6336422052252624 * X + 8.24429324826952
0.8884256825113608,Gender Inequality Index Rank,2015 Human Development Index (HDI) (Value),Y = -0.0029633822952927925 * X + 0.945766092323268
0.8884256825113608,Gender Inequality Index Rank,2015 Human Development Index (HDI) ,Y = -0.0029633822952927925 * X + 0.945766092323268
0.8884256825113607,2015 Human Development Index (HDI) (Value),Gender Inequality Index Rank,Y = -266.35112000215196 * X + 268.74063998643163
0.8884256825113607,2015 Human Development Index (HDI) ,Gender Inequality Index Rank,Y = -266.35112000215196 * X + 268.74063998643163
0.8881050277104873,2015 Inequality-adjusted income index (Value),2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = -54.45610560590491 * X + 48.94229612682972
0.8881050277104873,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted income index (Value),Y = -0.014483785270151933 * X + 0.8171264175246264
0.8879224245969517,2015 Life expectancy at birth (Years),2015 Inequality-adjusted HDI (IHDI) Value,Y = 0.019568433667878218 * X + -0.8282288552159093
0.8879224245969517,2015 Inequality-adjusted HDI (IHDI) Value,2015 Life expectancy at birth (Years),Y = 40.2896954085957 * X + 48.36828388275613
0.8869278610933272,2015 Life expectancy at birth (Years),2014HDI rank,Y = -5.8181526852932235 * X + 509.4850585751838
0.8869278610933272,2014HDI rank,2015 Life expectancy at birth (Years),Y = -0.13520460416448055 * X + 84.10879603647373
0.886171344431349,HDI rank,2015 Life expectancy at birth (Years),Y = -0.13503405458824824 * X + 84.09055242531284
0.8861713444313489,2015 Life expectancy at birth (Years),HDI rank,Y = -5.8155674439743095 * X + 509.28463315924296
0.8857800100315133,2015 Mean years of schooling (Year),2015 Inequality in education (%),Y = -3.9923245906096683 * X + 53.12213548406658
0.8857800100315132,2015 Inequality in education (%),2015 Mean years of schooling (Year),Y = -0.19652866603504532 * X + 12.216612082182357
0.8855526174501201,Gender Inequality,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = 46.54449962976823 * X + 3.3538306553015653
0.8855526174501201,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Gender Inequality,Y = 0.016848466403347234 * X + 0.021342488396338424
0.8824144285724422,Gender Inequality,2015 Human Development Index (HDI) (Value),Y = -0.7171640338466218 * X + 0.966906645404929
0.8824144285724422,Gender Inequality,2015 Human Development Index (HDI) ,Y = -0.7171640338466218 * X + 0.966906645404929
0.8824144285724422,2015 Human Development Index (HDI) (Value),Gender Inequality,Y = -1.0857421552171196 * X + 1.1294132902995342
0.8824144285724422,2015 Human Development Index (HDI) ,Gender Inequality,Y = -1.0857421552171196 * X + 1.1294132902995342
0.8819142573655653,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2010- 2015 Inequality in life expectancy (%),Y = 1.0456356320923355 * X + -4.427650834641934
0.8819142573655653,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = 0.7438277096471161 * X + 7.968717356054784
0.8795557365698963,2015 Coefficient of human inequality,2014HDI rank,Y = 4.751579808877176 * X + -0.30060611395138775
0.8795557365698963,2014HDI rank,2015 Coefficient of human inequality,Y = 0.16281285905956905 * X + 4.714654514859827
0.8789163132678073,HDI rank,2015 Coefficient of human inequality,Y = 0.16256195610528681 * X + 4.741303092768704
0.8789163132678073,2015 Coefficient of human inequality,HDI rank,Y = 4.751996741648166 * X + -0.32244410386257966
0.8771793809883798,2015 Coefficient of human inequality,2015 Human Development Index (HDI) (Value),Y = -0.013575891521690576 * X + 0.9695664371169086
0.8771793809883798,2015 Coefficient of human inequality,2015 Human Development Index (HDI) ,Y = -0.013575891521690576 * X + 0.9695664371169086
0.8771793809883796,2015 Human Development Index (HDI) (Value),2015 Coefficient of human inequality,Y = -56.67721086322771 * X + 59.704072168605904
0.8771793809883796,2015 Human Development Index (HDI) ,2015 Coefficient of human inequality,Y = -56.67721086322771 * X + 59.704072168605904
0.8764283070077863,2015 Inequality-adjusted HDI (IHDI) Value,Population with at least some secondary education (Female) 2005-2015,Y = 145.62364917676254 * X + -25.011366972378042
0.8764283070077862,Population with at least some secondary education (Female) 2005-2015,2015 Inequality-adjusted HDI (IHDI) Value,Y = 0.005274737871677408 * X + 0.265442455891453
0.8751243241073698,2015 Coefficient of human inequality,2015 Inequality-adjusted life expectancy index Value,Y = -0.01662153548348174 * X + 1.0031713945572418
0.8751243241073697,2015 Inequality-adjusted life expectancy index Value,2015 Coefficient of human inequality,Y = -46.075320983760236 * X + 51.04741287053688
0.873156061526185,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2014HDI rank,Y = 4.6200238906145765 * X + 0.43117949864636296
0.873156061526185,2014HDI rank,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = 0.16502111803549602 * X + 4.927540913382239
0.8726587812956755,HDI rank,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = 0.16479277575028586 * X + 4.952016459872761
0.8726587812956754,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),HDI rank,Y = 4.621157360237809 * X + 0.39408806620214715
0.871208314457998,Gender Inequality Index Rank,2015 Inequality-adjusted income index (Value),Y = -0.003129564052228929 * X + 0.7764091422875319
0.8712083144579978,2015 Inequality-adjusted income index (Value),Gender Inequality Index Rank,Y = -242.5270467431943 * X + 207.6883504017205
0.8711201745786405,Gini coefficient,2015 Inequality in income (%),Y = 1.065972272295357 * X + -17.517031265716913
0.8711201745786405,2015 Inequality in income (%),Gini coefficient,Y = 0.7118856449463636 * X + 21.83583928565881
0.8701053797758467,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Human Development Index (HDI) (Value),Y = -0.013189534971539572 * X + 0.9672550642224296
0.8701053797758467,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Human Development Index (HDI) ,Y = -0.013189534971539572 * X + 0.9672550642224296
0.8701053797758467,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = -57.40030816465566 * X + 60.6313185224484
0.8701053797758467,2015 Human Development Index (HDI) ,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = -57.40030816465566 * X + 60.6313185224484
0.8694363082964821,Gender Inequality,2015 Inequality-adjusted income index (Value),Y = -0.758767393592634 * X + 0.7988163119604126
0.8694363082964821,2015 Inequality-adjusted income index (Value),Gender Inequality,Y = -0.9962466766067306 * X + 0.8840165867863415
0.8689906630657447,2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality in education (%),Y = -67.37030524517512 * X + 57.845591268025174
0.8689906630657447,2015 Inequality in education (%),2015 Inequality-adjusted HDI (IHDI) Value,Y = -0.011208866721730125 * X + 0.7852365148866424
0.8682665151178476,Maternal mortality ratio (deaths per 100000 live births) 2015,2010- 2015 Inequality in life expectancy (%),Y = 0.04582484383406993 * X + 9.551324399162242
0.8682665151178476,2010- 2015 Inequality in life expectancy (%),Maternal mortality ratio (deaths per 100000 live births) 2015,Y = 16.451485225016523 * X + -116.05443475917312
0.8681195155913486,2015 Inequality-adjusted life expectancy index Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),Y = -46.66598619369021 * X + 51.86608469408469
0.8681195155913486,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted life expectancy index Value,Y = -0.016149481770781824 * X + 1.0003620774133752
0.8663002211276073,2015 Gross national income (GNI) per capita (2011 PPP $),2015 Inequality-adjusted income index (Value),Y = 1.016885887516501e-05 * X + 0.36367025771935774
