Country,Gender Inequality,Gender Inequality Index Rank,Maternal mortality ratio (deaths per 100000 live births) 2015,Adolescent birth rate (births per 1000 women ages 15�19) 2015,Share of seats in parliament(% held by women) 2015,Population with at least some secondary education (Female) 2005-2015,Population with at least some secondary education (Male) 2005-2015,Labour force participation rate (Female) 2015,Labour force participation rate  (Male) 2015
Cameroon,0.568,138,596,104.6,27.1,31.7,37.9,71,81.1
Papua New Guinea,0.595,143,215,54.8,2.7,8.8,14.7,69.6,71
Zimbabwe,0.54,126,443,109.7,35.1,51.9,64.7,77.8,87.3
Solomon Islands,..,..,114,48.4,2,..,..,61.1,73.5
Mauritania,0.626,147,602,78.6,22.2,11.1,23.5,29.1,65.3
Madagascar,..,..,353,116.2,20.5,..,..,83.8,89.1
Rwanda,0.383,84,290,26.3,57.5,10.5,16.4,86.4,83.2
Comoros,..,..,335,68.3,3,..,..,35.3,79.4
Lesotho,0.549,132,487,92.7,24.8,23.6,22.5,59.2,73.9
Senegal,0.521,120,315,78.6,42.7,10.2,19.2,45,70.2
Haiti,0.593,142,359,39.3,3.5,25.7,38.7,61.5,71.4
Uganda,0.522,121,343,111.9,35,25.9,32.1,82.3,87.7
Sudan,0.575,140,311,74,31,13.7,18.8,24.3,72.2
Togo,0.556,134,368,92,17.6,23.1,36.1,81.1,80.6
Benin,0.613,144,405,83.2,7.2,15.8,30.8,70,73.4
Yemen,0.767,159,385,61.5,0.5,15.6,33.2,25.8,73.1
Afghanistan,0.667,154,396,74,27.4,8.8,35.4,19.1,83.6
Malawi,0.614,145,634,136.2,16.7,14.9,24.2,81.2,80.8
Cote d'Ivoire,0.672,155,645,135.5,9.2,16.6,32.7,52.4,80.9
Djibouti,..,..,229,21.5,12.7,..,..,36.5,68.1
Gambia,0.641,148,706,113,9.4,25.3,39.1,72.2,82.7
Ethiopia,0.499,116,353,58.4,37.3,10.8,20.7,77,89.1
Mali,0.689,156,587,174.6,8.8,7.3,16.2,50.1,82.3
Congo (Democratic Republic of the),0.663,153,693,122.6,8.2,14.5,35,70.5,71.8
Liberia,0.649,150,725,108.8,10.7,17.3,39.7,58,63.9
Guinea-Bissau,..,..,549,89.5,13.7,..,..,67.2,78.3
Eritrea,..,..,501,54.3,22,..,..,77.7,90.2
Sierra Leone,0.65,151,1360,118.2,12.4,16.8,29.7,65,68.6
Mozambique,0.574,139,489,139.7,39.6,2.8,8,82.5,75.4
South Sudan,..,..,789,65.9,24.3,..,..,71.2,75.3
Guinea,..,..,679,140.6,21.9,..,..,79.5,85.1
Burundi,0.474,108,712,28.3,37.8,7.1,9.6,84.6,82.7
Burkina Faso,0.615,146,371,108.5,9.4,6,11.5,76.6,90.7
Chad,0.695,157,856,133.5,14.9,1.7,9.9,64,79.3
Niger,0.695,157,553,202.4,13.3,3.6,8.4,40.2,89.4
Central African Republic,0.648,149,882,91.9,12.5,12.3,29.8,71.7,84.6
